x,y,live_count,dead_count,pipo_count,non_pipo_count,pipo_ba,total_ba,site,forest,elev,rep,crs
-66048.79335750431,98148.4138665805,18,1,12,6,1.713312953192847,2.3376242890630383,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98148.4138665805,15,1,13,2,1.9908000271394921,2.233881961082799,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98148.4138665805,27,3,13,14,1.0969801195110123,1.9118295519791544,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98148.4138665805,22,0,6,16,0.49146751708522857,1.6313885971064177,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98148.4138665805,27,0,13,14,0.6307992772950248,1.2476120280259781,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98148.4138665805,22,1,6,16,0.2971534476391463,2.3609192685024682,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98148.4138665805,29,1,12,17,1.2688248151949963,2.8642638680159935,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98148.4138665805,22,0,10,12,1.7757429721961213,2.3705155803615567,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98148.4138665805,30,3,15,15,2.7079423927622885,5.2011698178508015,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98148.4138665805,12,1,2,10,0.48547197555863375,0.9806616886991517,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98148.4138665805,19,3,14,5,4.0333958637319265,4.337780480261822,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98148.4138665805,31,0,14,17,1.5657453001639974,3.0372475185236705,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98148.4138665805,36,0,8,28,1.748212753774959,9.92297946860387,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98148.4138665805,30,0,15,15,4.037847935771532,7.373172395574787,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98148.4138665805,26,0,5,21,1.1287358748216665,6.040059865294676,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98148.4138665805,25,1,15,10,3.025019768364336,4.527016487374938,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98128.4138665805,0,11,0,0,0.36703766032583013,0.36703766032583013,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98128.4138665805,5,5,3,2,0.1774864512414604,0.21153835043514452,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98128.4138665805,3,14,0,3,1.1027018970571967,1.4364634467914847,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98128.4138665805,10,11,5,5,0.8105318318912882,1.184686141505167,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98128.4138665805,15,5,7,8,1.179077987473691,1.8794489765696103,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98128.4138665805,36,0,13,23,1.5219617260387293,4.773437638329467,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98128.4138665805,22,0,8,14,1.428733034215735,2.5920354348379715,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98128.4138665805,29,2,16,13,3.3477099347629973,5.436633008803255,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98128.4138665805,21,1,15,6,2.5744534363078966,3.2038616618057447,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98128.4138665805,28,0,14,14,0.857847879268668,2.8384787923206662,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98128.4138665805,17,0,9,8,1.2547738120948457,2.2120414221965863,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98128.4138665805,27,1,22,5,2.197528881601841,2.4950635653465185,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98128.4138665805,15,5,6,9,1.1321983830724414,2.761518758125836,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98128.4138665805,36,2,19,17,1.5280588924199112,3.426006254118286,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98128.4138665805,33,1,8,25,0.90551718298868,2.8189896417707674,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98128.4138665805,33,1,6,27,0.7638215259530281,5.525582794771735,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98128.4138665805,31,0,12,19,1.5187528712157694,4.388560202309081,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98128.4138665805,27,1,9,18,0.5411764263460231,2.1657848016656747,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98128.4138665805,24,0,11,13,1.70916893191168,3.0174063489346445,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98128.4138665805,24,0,12,12,2.3676154335868924,5.105691086777843,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98128.4138665805,24,4,11,13,3.8307090612295087,6.532489644176966,eldo_3k_1,eldo,3k,1,3310
