plot,ttops_method,elapsed_time,total_tree_count,live_tree_count,dead_tree_count,total_density_tph,live_density_tph,dead_density_tph,live_proportion,height_lwr_25,height_mean,height_upr_25,nn_1_mean,nn_2_mean,nn_3_mean,tree_count_above_15m,tree_count_below_15m
sier_3k_1_3,ground,NA,17,7,10,420.079148494181,172.97376702701573,247.1053814671653,0.4117647058823529,14.0208,18.861741176470588,22.86,1.9059839822972233,4.1525115031861475,5.630781187510822,12,5
sier_3k_1_5,ground,NA,35,19,16,864.8688351350786,469.5002247876141,395.3686103474645,0.5428571428571428,6.5532,18.488297142857142,36.7284,1.9990203395491295,2.8836191665502438,3.354268596698774,13,22
sier_3k_2_1,ground,NA,2,0,2,49.42107629343306,0,49.42107629343306,0,25.8318,28.194,30.5562,3.2473110190351644,4.372381978896368,5.321050943360184,2,0
sier_3k_2_2,ground,NA,4,2,2,98.84215258686612,49.42107629343306,49.42107629343306,0.5,27.9654,28.3464,29.0322,8.559421296161178,11.310114536488243,15.437726507303976,4,0
sier_3k_2_3,ground,NA,8,4,4,197.68430517373224,98.84215258686612,98.84215258686612,0.5,9.372599999999998,17.2593,27.355800000000002,3.6569265122419807,4.62901117952257,5.319557036828045,4,4
sier_3k_2_4,ground,NA,5,1,4,123.55269073358265,24.71053814671653,98.84215258686612,0.2,22.5552,24.56688,28.6512,5.167641841089288,9.925795813381738,11.342719110560108,4,1
sier_3k_2_5,ground,NA,4,0,4,98.84215258686612,0,98.84215258686612,0,25.2222,26.5176,29.0322,4.168802266623446,6.931265739558277,12.310631718205377,4,0
sier_3k_3_1,ground,NA,16,1,15,395.3686103474645,24.71053814671653,370.658072200748,0.0625,21.5646,23.22195,25.6794,2.0033133660946083,2.60398270209354,3.2975380238209446,15,1
sier_3k_3_2,ground,NA,14,7,7,345.94753405403145,172.97376702701573,172.97376702701573,0.5,9.7536,15.5448,21.6408,2.589896874575813,3.351331854250052,4.262969480877018,6,8
sier_3k_3_4,ground,NA,8,3,5,197.68430517373224,74.13161444014959,123.55269073358265,0.375,17.907,22.4028,28.194,4.428229335049675,9.257747897712663,11.36626247449805,7,1
sier_3k_3_5,ground,NA,19,0,19,469.5002247876141,0,469.5002247876141,0,11.2776,20.630147368421053,30.1752,2.7174796784481954,3.818012005119422,4.861800312673432,11,8
sier_4k_1_2,ground,NA,16,5,11,395.3686103474645,123.55269073358265,271.8159196138818,0.3125,10.286999999999999,18.64995,25.908,2.1568701804301167,3.7093835615324657,4.446414793470376,10,6
sier_4k_1_3,ground,NA,37,21,16,914.2899114285117,518.9213010810472,395.3686103474645,0.5675675675675675,10.0584,16.409772972972974,20.726399999999998,1.8668947250917218,2.7888709139297183,3.5672592111081283,16,21
sier_4k_1_4,ground,NA,7,5,2,172.97376702701573,123.55269073358265,49.42107629343306,0.7142857142857143,4.572,11.669485714285715,16.154400000000003,3.3122823652427473,6.448338559293635,8.565337888756769,2,5
sier_4k_1_5,ground,NA,13,9,4,321.2369959073149,222.39484332044879,98.84215258686612,0.6923076923076923,4.2672,12.473353846153845,22.2504,4.061539747846164,5.513742427914504,6.334070453197542,6,7
sier_4k_2_1,ground,NA,13,3,10,321.2369959073149,74.13161444014959,247.1053814671653,0.23076923076923078,19.812,24.665353846153845,30.1752,2.277074337250805,3.7819593735721804,4.68997447292074,11,2
sier_4k_2_2,ground,NA,39,14,25,963.7109877219447,345.94753405403145,617.7634536679133,0.358974358974359,4.4196,11.168184615384616,12.8016,1.7102853722987776,2.448191343695195,3.109118001485778,9,30
sier_4k_2_4,ground,NA,27,16,11,667.1845299613464,395.3686103474645,271.8159196138818,0.5925925925925926,6.8580000000000005,13.524088888888889,19.2024,1.7863837316302293,2.521288646847853,3.2463973113141553,12,15
sier_4k_3_2,ground,NA,13,2,11,321.2369959073149,49.42107629343306,271.8159196138818,0.15384615384615385,21.336,23.493046153846155,28.6512,3.5441995561867143,4.837674614701835,6.3862238958497075,11,2
sier_4k_3_3,ground,NA,11,0,11,271.8159196138818,0,271.8159196138818,0,21.1836,23.24792727272727,25.7556,3.68338499889506,5.239184379231374,6.481540290586059,11,0
sier_4k_3_5,ground,NA,42,31,11,1037.8426021620944,766.0266825482124,271.8159196138818,0.7380952380952381,4.8768,10.268857142857144,11.2776,1.5374817081819065,2.4293349859004723,3.2426460555164325,8,34
sier_5k_1_1,ground,NA,19,9,10,469.5002247876141,222.39484332044879,247.1053814671653,0.47368421052631576,9.6012,17.646315789473686,27.279600000000002,2.2152158972509848,2.9374451002446595,4.2061981798113495,8,11
sier_5k_1_2,ground,NA,13,7,6,321.2369959073149,172.97376702701573,148.26322888029918,0.5384615384615384,5.1815999999999995,11.066584615384615,17.6784,2.443101591866683,3.866591632258243,5.916947583578034,4,9
sier_5k_1_4,ground,NA,19,14,5,469.5002247876141,345.94753405403145,123.55269073358265,0.7368421052631579,6.4008,11.470105263157896,12.192,2.09428223512325,3.2428317473078527,4.271997546154932,4,15
sier_5k_1_5,ground,NA,25,10,15,617.7634536679133,247.1053814671653,370.658072200748,0.4,10.9728,17.666208,24.9936,1.761188557929607,2.5167962408005176,3.1639187239890876,13,12
sier_5k_2_2,ground,NA,10,1,9,247.1053814671653,24.71053814671653,222.39484332044879,0.1,32.9184,35.29584,40.0812,3.9031695105241755,5.71519234804346,6.7453061167822135,9,1
sier_5k_2_5,ground,NA,19,3,16,469.5002247876141,74.13161444014959,395.3686103474645,0.15789473684210525,8.6868,16.090231578947368,23.7744,2.066063474084703,3.2420242515642492,4.1976729696103785,10,9
sier_5k_3_1,ground,NA,30,14,16,741.316144401496,345.94753405403145,395.3686103474645,0.4666666666666667,8.3058,15.80896,20.955,1.3954986825987936,2.0901753600733892,2.9939357534039766,13,17
sier_5k_3_3,ground,NA,16,6,10,395.3686103474645,148.26322888029918,247.1053814671653,0.375,3.9624,9.46785,11.7348,1.4937411094880537,3.8637766803326503,4.480660267315117,3,13
